Question,Answer
Is the leopard an Old World mammal ,
Is the leopard of the Felidae family ,yes 
Is the leopard of the Felidae family ,yes 
Is the leopard one of the four big cats ,yes 
Is the leopard one of the four big cats ,yes 
Where is the leopard distributed ,southern Eurasia and Africa 
Where is the leopard distributed ,southern Eurasia and Africa from Korea to South Africa and Spain 
How long is leopards tail ,60 to 110cm 
How long is leopards tail ,60110cm 
How much does leopard weigh ,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females 
How much does leopard weigh ,because of ambiguity 2890kg 
Does male leopard weigh more than female leopard ,yes 
Does male leopard weigh more than female leopard ,yes 
What is the difference between leopards and cheetahs ,The leopard has rosettes rather than cheetahs simple spots and the leopard is larger and less lanky than the cheetah 
What is the difference between leopards and cheetahs ,The leopard has rosettes rather than cheetahs simple spots but they lack internal spots unlike the jaguar The leopard is larger and less lanky than the cheetah but smaller than the jaguar 
How does the distribution size of the leopard compare to the distribution of other wild cats ,As of 1996 the leopard had the largest distribution of any wild cat although populations before and since have shown declining trend and are fragmented outside of subsaharan Africa 
How does the distribution size of the leopard compare to the distribution of other wild cats ,the leopard had the largest distribution of any wild cat 
What resembles that of the similarlysized cougar in the Americas ,The leopards ecological role 
What was one of the many species described in Linnaeuss 18thcentury work Systema Naturae ,Felis pardus 
What sort of cats are solitary ,Leopards 
Are leopards circular ,No 
Is the leopard solitary ,Yes 
What centred in Sierra ,The leopard men 
Felis pardus was what ,One of the many species described in Linnaeuss 18thcentury work Systema Naturae 
Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ,Yes 
Were the Leopard men West African secret society who practised cannibalism ,Yes 
Was the leopard tank German designed tank which entered service in 1965 ,Yes 
Is the black color heritable and caused by only one recessive gene locus ,Yes 
Is the leopard LRB panthera pardus RRB an old world mammal of the felidae family and the smallest of the four `` big cats of the genus panthera along with the tiger lion and jaguar ,Yes 
Can panther be any of several species of large felid ,Yes 
Is the leopard an agile and graceful predator ,Yes 
Is Liechtenstein bordered by Switzerland ,Yes 
Is Liechtenstein bordered by Switzerland ,Yes 
Is Liechtenstein the smallest Germanspeaking country in the world ,Yes 
Is Liechtenstein the smallest Germanspeaking country in the world ,Yes 
Was Liechtenstein part of the ancient Roman province of Raetia ,Yes 
Was Liechtenstein part of the ancient Roman province of Raetia ,Yes 
When was the first factory opened ,1836 
When was the first factory opened ,1836 
How many municipalities is Liechtenstein divided into ,11 
How many municipalities is Liechtenstein divided into ,11 
What is the national currency of Liechtenstein ,Swiss franc 
What is the national currency of Liechtenstein ,Swiss franc 
Has Leichtenstein worked to promote the countys image by prosecuting international moneylaundering ,Yes 
What company administers Leichtensteins railways ,Austrian Federal Railways 
What company administers Leichtensteins railways ,Austrian Federal Railways 
What percentage of Liechtensteins population is foreignborn ,twothirds 
What percentage of Liechtensteins population is foreignborn ,67% 
Is there an airport in Liechtenstein ,No 
Is there an airport in Liechtenstein ,No 
Is Liechtenstein heavily urbanized ,No 
Is Liechtenstein heavily urbanized ,No 
Is Liechtenstein doubly landlocked ,Yes 
Is Liechtenstein doubly landlocked ,Yes 
Does Liechtenstein have an army ,No 
Does Liechtenstein have an army ,No 
When was Liechtensteins current constitution adopted ,October 1921 
When was Liechtensteins current constitution adopted ,21Oct 
What is the official language of Liechtenstein ,German 
What is the official language of Liechtenstein ,German 
What countries border Liechtenstein ,Switzerland and Austria 
What countries border Liechtenstein ,Switzerland and Austria 
What Roman province was Liechtenstein part of ,Raetia 
What Roman province was Liechtenstein part of ,Raetia 
How many municipalities are within Oberland ,
How many municipalities are within Oberland ,
What is the smallest Germanspeaking country in the world ,Liechtenstein 
The Savings and Loans Bank was founded as was the first cottonweaving mill in what year ,1861 
What enjoys one of the worlds highest standards of living ,Liechtensteins population 
Does the state court rule on the conformity of laws ,Yes 
What do most recognizable international company and largest employer have in common ,They are Hilti 
Is Liechtenstein heavily urbanized ,No 
Was Liechtenstein completed in November 2000 ,No 
What completed in November ,the Kunstmuseum Liechtenstein 
The State Court rules what ,on the conformity of laws with the constitution 
The Historical Society of the Principality of Liechtenstein plays what ,role in preserving the culture and history of the country 
Is the museum collection also the national art collection of Liechtenstein ,Yes 
Is there small heliport at Balzers in Liechtenstein available for charter helicopter flights ,Yes 
Are nationals referred to by the plural Liechtensteiners ,Yes 
Is it winter sports resort although it is perhaps best known as tax haven ,Yes 
Is it winter sports resort ,Yes 
Is it the smallest germanspeaking country in the world ,Yes 
What happened in moravia lower austria silesia and styria though in all cases these territories were held in fief under other more senior feudal lords ,The Liechtenstein Dynasty acquired vast swaths of land 
Did Webster write can now sleep of nights ,Yes 
Did Webster write can now sleep of nights ,Yes 
Was the arrival of Louis Kossuth exiled leader of failed Hungarian revolution another issue that presented itself during Fillmores presidency ,Yes 
Was the arrival of Louis Kossuth exiled leader of failed Hungarian revolution another issue that presented itself during Fillmores presidency ,Yes 
Did he die at 1110 pm on March 1874 of the aftereffects of stroke ,Yes 
Did he die at 1110 pm on March 1874 of the aftereffects of stroke ,yes 
Who got Seward elected to the senate ,Weed 
Who got Seward elected to the senate ,Weed ultimately got Seward elected to the senate 
Where was Commodore Matthew Perry sent to open Japan to Western trade ,Japan 
Where was Commodore Matthew Perry sent to open Japan to Western trade ,Commodore Matthew Perry send to Japan 
What is The Remarkable Millard Fillmore ,fake biography based on real events that happened in Fillmores life 
What is The Remarkable Millard Fillmore ,In 2007 George Pendle wrote The Remarkable Millard Fillmore fake biography based on real events that happened in Fillmores life 
Did Fillmore form law partnership before or after he founded the private University of Buffalo ,Before 
Did Fillmore form law partnership before or after he founded the private University of Buffalo ,Law partnership founded before University of Buffalo 
Did Fillmore run for President second time ,Yes 
Did Fillmore run for President second time ,dont know semantic ambiguity 
How long after the death of his first wife did Fillmore marry Caroline McIntosh ,where is the death date of his first wife 
Was Millard Fillmore the thirteenth President of the United States ,yes 
Was Millard Fillmore the thirteenth President of the United States ,yes 
Was Millard Fillmore born on January 1800 ,yes 
Was Millard Fillmore born on January 1800 ,yes 
Did Millard Fillmore die on March 1974 ,no 
Did Millard Fillmore die on March 1974 ,no 
Where was Millard Fillmore born ,in log cabin in Summerhill New York 
Where was Millard Fillmore born ,in log cabin in Summerhill New York 
To whom was Millard Fillmore born to ,to Nathaniel and Phoebe Millard Fillmore 
To whom was Millard Fillmore born to ,to Nathaniel and Phoebe Millard Fillmore 
Who did Millard Fillmore fall in love with ,He fell in love with Abigail Powers 
Who did Millard Fillmore fall in love with ,Abigail Powers 
What did Taylor and Fillmore disagree upon ,slavory issues 
What did Taylor and Fillmore disagree upon ,Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the MexicanAmerican War 
How did Fillmore ascend to the presidency ,upon the death of the sitting president Taylor 
How did Fillmore ascend to the presidency ,Official White House portrait of Millard FillmoreFillmore ascended to the presidency upon the sudden and unexpected death of President Taylor in July 1850 
How did the supporters of Henry Clay feel about Fillmore in 1848 ,they were ok with him 
How did the supporters of Henry Clay feel about Fillmore in 1848 ,angry 
Who was first apprenticed to fuller to learn the clothmaking trade ,millard fillmore 
He founded the private university of buffalo on what date ,1846 
Who or what fell in love with abigail powers ,millard fillmore 
Was Fillmore one of the founders of the University of Buffalo ,yes 
Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate ,yes 
Was Fillmore the second Chancellor position he maintained while both Vice President and President ,no 
Is Fillmore the first of two presidents to have been an indentured servant ,yes 
Is the comic strip Mallard Fillmore named after the president ,yes 
Was Fillmore the first US President born after the death of former president ,yes 
Did Fillmore not turn down the honor explaining that he had neither the `` literary nor scientific attainment to justify the degree ,no 
What happened in log cabin in summerhill new york ,Fillmore was born 
Do sea otters have long muscular tails ,no 
Do sea otters have long muscular tails ,No 
Can otters survive in cold water ,yes 
Can otters survive in cold water ,Yes 
Does the giant otter inhabit South Africa ,no 
Does the giant otter inhabit South Africa ,No 
How many species of otter are there ,13 
How many species of otter are there ,13 
What do river otters eat ,variety of fish and shellfish as well as small land mammals and birds 
What do river otters eat ,variety of fish and shellfish as well as small land mammals and birds 
How much do sea otters weigh ,30 kg about 65 pounds 
How much do sea otters weigh ,30 kg about 65 pounds 
How do sea otters insulate themselves ,layer of air trapped in their fur 
How do sea otters insulate themselves ,As with other species of otter they rely on layer of air trapped in their fur which they keep topped up by blowing into the fur from their mouths 
Why are sea otters nearly extinct ,Theyve been hunted for their fur 
Why are sea otters nearly extinct ,Sea otters have some 200000 hairs per square cm of skin rich fur for which humans hunted them 
What is one of the challenges of reestablishing population of Eurasian otters in the UK ,roadkill deaths 
What is one of the challenges of reestablishing population of Eurasian otters in the UK ,Roadkill deaths have become one of the significant threats to the success of their reestablishment 
Is otter kind of mammal ,yes 
Is otter kind of mammal ,Yes 
How many species and genera does otter have ,13 species and genera 
How many species and genera does otter have ,13 species in genera 
Do otters live in water ,yes 
Do otters live in water ,Yes 
What do river otters eat ,River otters eat variety of fish and shellfish as well as small land mammals and birds 
What do river otters eat ,River otters eat variety of fish and shellfish as well as small land mammals and birds 
Where do sea otters live ,Sea otters Enhydra lutris live along the Pacific coast of North America 
Where do sea otters live ,The sea otter lives actually in the sea 
Where does the word otter derive from ,The word otter derives from the Old English word otr otor or oter 
Where does the word otter derive from ,The word otter derives from the Old English word otr otor or oter This and cognate words in other IndoEuropean languages ultimately stem from root which also gave rise to the English words water wet and winter 
Does otter give birth or lay egg ,give birth 
What drives sea otter almost to extinction ,Humans hunted them almost to extinction 
What drives sea otter almost to extinction ,Sea otters have some 200000 hairs per square cm of skin rich fur for which humans hunted them almost to extinction 
Why otters are considered as totem animals ,The time of year associated with this is also associated with the Aquarius sign of the Zodiac through which the sun passes January 20February 19 
Do sea otters live along the Pacific coast ,Yes 
Do sea otters live along the Pacific coast ,Yes 
Are otters totem animals ,Yes 
Are otters herbivores ,No 
Are otters herbivores ,No 
What is the primary item in an otters diet ,Fish 
What is the primary item in an otters diet ,fish 
What is an otters den called ,Holt 
What is an otters den called ,holt 
Why is the giant otter becoming increasingly rare ,Poaching habitat loss and toxins in gold mining 
Why is the giant otter becoming increasingly rare ,poaching habitat loss and the use of mercury in illegal alluvial gold mining 
How do otters keep themselves warm without blubber ,layer of air trapped in their fur 
How do otters keep themselves warm without blubber ,layer of air trapped in their fur 
How are otters playful animals ,The slide down snowy slopes apparently for sheer enjoyment 
How are otters playful animals ,They slide repeatedly down snowy slopes for sheer enjoyment 
What animals are related to otters ,weasels polecats and badgers 
What traps layer of air and keeps them dry and warm under water ,Long guard hair 
The collective noun romp is sometimes used for group of what ,Otters 
Is it true that otters eat variety of fish ,yes 
Are otters playful animals ,yes 
Are otters very active ,yes 
Are male otters dogotters ,yes 
An otter den is what ,holt 
Sea otters eat what ,Shellfish and other invertebrates 
Is the myth of Otter Ransom the starting point of the Volsunga saga ,yes 
Are Male otters dogotters females are bitches and babies are cubs or pups ,yes 
Is an otter den called holt ,yes 
Have most otters fish as the primary item in their diet supplemented by frogs crayfish and crabs ,yes 
Do penguins feed on krill ,yes 
Do penguins feed on krill ,yes 
What is the largest living species of penguin ,Emperor Penguin 
What is the largest living species of penguin ,the Emperor Penguin Aptenodytes forsteri 
Do penguins live almost exclusively in the Southern Hemisphere ,yes 
Do penguins live almost exclusively in the Southern Hemisphere ,yes 
What is tobogganing ,when penguins slide on their bellies across the snow 
What is tobogganing ,Tobogganing is when penguins slide on their bellies across the snow 
Why are penguins countershaded ,for camouflage 
Why are penguins countershaded ,for camouflage 
Are penguins afraid of humans ,no 
Are penguins afraid of humans ,no 
How much time to penguins spend on land ,half of their life 
How much time to penguins spend on land ,They spend half of their life on land 
How many species of penguins are there ,between 17 and 20 living species 
How many species of penguins are there ,Penguin biodiversity varies between 17 and 20 living species all in the subfamily Spheniscinae 
How are Isabelline penguins different from most penguins ,they have brown rather than black plumage 
How are Isabelline penguins different from most penguins ,Because they are born with brown rather than black plumage 
Are penguins birds ,yes 
Are penguins birds ,Yes 
Do penguins have better than average sense of hearing for birds ,yes 
Do penguins have better than average sense of hearing for birds ,No 
Are penguins considered higher waterbirds ,yes 
Are penguins considered higher waterbirds ,Yes 
What order do penguins belong to ,Sphenisciformes 
What order do penguins belong to ,Sphenisciformes 
What is the largest living species of penguin ,Emperor Penguin 
What is the largest living species of penguin ,Emperor 
How tall were the tallest prehistoric penguins ,180 meters 
How tall were the tallest prehistoric penguins ,as tall as an adult human 
What makes penguins so agile in the water ,Their wings have become flippers 
What makes penguins so agile in the water ,Smooth plumage preserves layer of air ensuring buoyancy wings are flippers 
Why do penguins tobaggan ,It conserves energy while moving quickly 
Why do penguins tobaggan ,Conserves energy while moving quickly 
Who spend half of their life on land and half in the oceans ,Penguins 
What is also the distance that Antarctic tourists are told to keep from penguins ,meters 
What have become flippers useless for flight in the air ,Penguins wings 
What happens when mothers lose chick ,They sometimes attempt to steal another chick 
Is it true that each penguin gets turn in the center ,Yes 
Are all penguins countershaded ,Yes 
Are penguins astonishingly agile ,In the water they are 
Are penguins at risk ,Yes 
Is it also possible that penguin comes from the Latin pinguis fat ,Yes 
Have penguins an average sense of hearing for birds ,Yes 
Can larger penguins dive deep in case of need ,Yes 
Is the smallest penguin species the Little Blue Penguin LRB also known as the Fairy Penguin RRB which stands around 40 cm tall LRB 16 in RRB and weighs kg LRB 22 lb RRB ,Yes 
Is it not even known whether the gigantic palaeeudyptines constitute monophyletic lineage or whether gigantism was evolved independently in much restricted Palaeeudyptinae and the Anthropornithinae ,It is not even known 
Is the largest living species the emperor penguin LRB aptenodytes forsteri RRB ,Yes 
Is the smallest penguin species the little blue penguin LRB also known as the fairy penguin RRB which stands around 40 cm tall LRB 16 in RRB and weighs kg LRB ,Yes 
What happened in region not quite 2000 km south of the equator 35 mya ,At least one giant penguin 
What is the last word on the page ,Connecticut 
What is the last word on the page ,SSN22 
Is polar bear mammal ,Yes 
Is polar bear mammal ,Yes 
Is polar bear carnivore ,Yes 
Is polar bear carnivore ,Yes 
What is largest polar bear on record ,2200 lb 
What is largest polar bear on record ,huge male allegedly weighing 1002 kg 2200 lb shot at Kotzebue Sound in northwestern Alaska in 1960 
What is polar bears skin color ,white or cream 
What is polar bears skin color ,Black 
How long is polar bears guard hair ,515 cm 
How long is polar bears guard hair ,515 cm 
What is cause of polar bears skin diseases ,mites or other parasites 
What is cause of polar bears skin diseases ,Mites or other parasites 
Why polar bear is special species ,The World Conservation Union listed polar bears as vulnerable species one of three subcategories of threatened status in May 2006 Their latest estimate is that out of 19 subpopulations are declining or already severely reduced 
What do fossil and DNA evidence tell us ,The polar bear diverged from the brown bear about 200 thousand years ago 
What do fossil and DNA evidence tell us ,The polar bear diverged from the brown bear roughly 200 thousand years ago 
Does polar bear live in the Arctic ,yes 
Does polar bear live in the Arctic ,Yes 
Is polar bear white in color ,yes 
Is polar bear white in color ,Yes 
Is polar bear at high risk of extinction ,yes 
Is polar bear at high risk of extinction ,Yes 
How heavy is male polar bear ,300600 kg 6601320 lb 
How heavy is male polar bear ,Most adult males weigh 350650 kg 
How heavy was the largest polar bear on record ,1002 kg 2200 lb 
How heavy was the largest polar bear on record ,He allegedly weighed 1002 kg 
What does polar bears fur provide ,It provides the animal with effective camouflage 
What does polar bears fur provide ,polar bears fur provides camouflage and insulation 
Do female polar bears weight more than the male ,no 
Do female polar bears weight more than the male ,No 
How much weight do female polar bears gain during pregnancy ,They gain double their weight 
How much weight do female polar bears gain during pregnancy ,They double their weight during pregnancy 
Can polar bears be seen under infrared photography ,Polar bears are nearly invisible under infrared photography 
Can polar bears be seen under infrared photography ,Only their breath and muzzles can be easily seen 
What is actually black in color ,polar bears skin 
What insulate it against the cold ,Its think blubber and fur 
What includes lengthy justification of why this species is listed as vulnerable ,Database entry 
What do with greenpeace and the natural resources defense council have in common ,They filed lawsuits in California 
Are studies insufficient evidence for global protection ,It is arguable 
Are polar bears excellent swimmers ,yes 
semiaquatic marine mammal the polar bear has what ,It has adapted for life on combination of land sea and ice 
Garbage is what ,Garbage is now recycled or transported to Thompson Manitoba 
The bears sometimes what ,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites 
Is the Polar Bear the mascot of Bowdoin college ,yes 
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ,yes 
Did Mitchell Taylor the Nunavut Government Manager of Wildlife Research not write letter to the US Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ,no 
Are Cubs born in December without awakening the mother ,yes 
Does Qatar rank as the eighth richest country in the world per capita ,No 
Does Qatar rank as the eighth richest country in the world per capita ,no 
Do nearly all Qataris profess Islam ,Yes 
Do nearly all Qataris profess Islam ,yes 
Can women legally drive in Qatar ,Yes 
Can women legally drive in Qatar ,yes 
When did Qatar become an independent state ,September 1971 
When did Qatar become an independent state ,3Sep71 
Where is Qatars telecommunication system centered ,Doha 
Where is Qatars telecommunication system centered ,Doha 
Where did suicidebombing kill teacher in 2005 ,At the Doha Players Theatre 
Where did suicidebombing kill teacher in 2005 ,Doha Players Theatre 
Does the native pronunciation of Qatar sound like cutter ,Yes 
Does the native pronunciation of Qatar sound like cutter ,no 
What is the Arabic word for municipalities ,baladiyah 
What is the Arabic word for municipalities ,baladiyah 
What universities are in Education City ,Carnegie Mellon University Georgetown University School of Foreign Service Texas A&M University Virginia Commonwealth University and Cornell Universitys Weill Medical College 
What universities are in Education City ,Carnegie Mellon University Georgetown University School of Foreign Service Texas A&M University Virginia Commonwealth University and Cornell University 
What carried with it tacit recognition of Qatars status as distinct from Bahrain ,The British Protectorate per Colonel Lewis Pelly asking to negotiate with representative from Qatar after Bahrains violation of the 1820 AngloBahraini Treaty 
Qatar became an independent sovereign state in what year ,On September 1971 
What consists of low barren plain covered with sand ,Much of the country 
How do qatar and the wider region relate ,Qatar is aiming to become role model for economic and social transformation in the region Large scale investment in all social and economic sectors will also lead to the development of strong financial market 
Was Qatar University founded in 1973 ,Yes 
Is Qatar bordered by Saudi Arabia to the south ,Yes 
What bordered by Saudi ,Qatar 
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ,Qatar 
Has Qatar modern Telecommunication system centered in Doha ,Yes 
Was Qatar University founded in 1973 ,Yes 
Did the Qataris not choose as their negotiator the respected entrepreneur and longtime resident of Doha Muhammed bin Thani ,Yes 
Will oil and gas probably remain the backbone of Qatar economy for some time to come ,Yes 
Has it been created with long term perspective to support the development of Qatar and the wider region develop local and regional markets and strengthen the links between the energy based economies and global financial markets ,Yes 
What happened in these positions in english ,These allophones cannot occur there 
Can these allophones not occur in these positions in english ,yes 
Is RRB officially the state of qatar LRB arabic transliterated as dawlat qatar RRB an arab emirate in southwest asia ,Yes 
Does Romania border Hungary ,Yes 
Does Romania border Hungary ,yes 
Is Romania secular state ,Yes 
Is Romania secular state ,yes 
Is the president elected by popular vote ,Yes 
Is the president elected by popular vote ,yes 
How many counties is Romania divided into ,41 
How many counties is Romania divided into ,fortyone 
What is the highest mountain in Romania ,Moldoveanu Peak 
What is the highest mountain in Romania ,Moldoveanu Peak 
What is the official language of Romania ,Romanian 
What is the official language of Romania ,Romanian 
Is the Romanian economy doing well ,Yes 
Are there many Roma in Romania ,No 
Are there many Roma in Romania ,no 
How many territories joined to form Romania ,
How many territories joined to form Romania ,
Does Romania share border with Ukraine ,yes 
Does Romania share border with Ukraine ,Yes 
Did Romania declare neutrality during World War ,yes 
Did Romania declare neutrality during World War ,Yes 
Does Romania share the same language with Moldova ,yes 
Does Romania share the same language with Moldova ,Practically 
What is the largest city in Romania ,Bucharest 
What is the largest city in Romania ,Bucharest 
What is the largest ethnic minority in Romania ,Hungarians 
What is the largest ethnic minority in Romania ,Hungarians 
How many countries in Europe are bigger than Romania ,eleven 
How many countries in Europe are bigger than Romania ,Eleven 
Why doesnt Romania have state religion ,Romania is secular state 
Why wasnt Romania neutral during World War II ,it received Soviet ultimatum 
Why wasnt Romania neutral during World War II ,The Soviets threatened invasion 
Sibiu large city in Transylvania was chosen as European Capital of Culture in what year ,2007 
What are approximately 42000 years old and have been nicknamed`` John of Anina ,the remains the lower jaw of the oldest modern human 
Is it true that romania has population of 21698181 ,Yes 
What do economy and law have in common ,not sure how to answer this 
What did Tourism in Romania attract in 2005 ,investments worth 400 million euros 
Is Romania secular state ,Yes 
Is Romania semipresidential unitary state ,Yes 
Is Romania semipresidential democratic republic where executive functions are shared between the president and the prime minister ,Yes 
Was Gellu Naum the leader of the surrealist movement in Romania ,Yes 
Was the Bucharest Metro only opened in 1979 ,Yes 
Is romania LRB RRB country in southeastern europe ,Yes 
Is romania semipresidential unitary state ,Yes 
Do singaporeans enjoy squid ,Yes they do 
Do singaporeans enjoy squid ,yes 
Did Singapores standard of living decrease since independence ,No the standard living was raised 
Did Singapores standard of living decrease since independence ,no 
Did the media contribute 156% to Singapores GDP in 2001 ,No it contributed 156% to GDP in 2001 
Did the media contribute 156% to Singapores GDP in 2001 ,no 
How many people use the bus network daily ,More than 278 million people 
How many people use the bus network daily ,278 million people 
Where did Orang Laut people live ,Orang Laut people lived around the coast rivers and smaller islands 
Where did Orang Laut people live ,Several hundred indigenous Orang Laut people also lived around the coast rivers and smaller islands 
What is the MRT ,One of three heavy rail passenger transport lines in Singapore 
What is the MRT ,Mass Rapid Transit system 
How is Singapores climate characterized ,Singapore has tropical rainforest climate with no distinctive seasons 
How is Singapores climate characterized ,Its climate is characterized by uniform temperature and pressure high humidity and abundant rainfall 
How much increase in the medias contribution to GDP is the government seeking ,The government seeks to increase its GDP contribution to 3% by 2012 
How much increase in the medias contribution to GDP is the government seeking ,the government seeks to increase its GDP contribution to 3% by 2012 
How many days did it take the Imperial Japanese Army to win the Battle of Singapore ,Six days 
How many days did it take the Imperial Japanese Army to win the Battle of Singapore ,days 
Is Singapore located at the southern tip of the Korean Penisula ,no 
Is Singapore located at the southern tip of the Korean Penisula ,Yes 
Is Singapore citystate ,yes 
Is Singapore citystate ,Yes 
Has Sang Nila Utama visited Singapore ,yes 
Has Sang Nila Utama visited Singapore ,Yes 
What does singa mean ,lion 
When is the first record of settlement in Singapore ,second century AD 
When is the first record of settlement in Singapore ,The first records of settlement in Singapore are from the second century AD 
Which nation invaded Singapore during World War II ,Japan 
Which nation invaded Singapore during World War II ,During World War II the Imperial Japanese Army invaded Malaya culminating in the Battle of Singapore 
Why Churchill called the occupation of Singapor by Janpan during WWII Britains greatest defeat ,The British were defeated in six days 
Was Lee Kuan Yew successful leader of Singapore ,yes 
Was Lee Kuan Yew successful leader of Singapore ,Yes 
When did Goh Chok Tong succeed Lee as Prime Minister ,In 1990 Goh Chok Tong succeeded Lee as Prime Minister 
What is the primary domestic source of water supply ,The primary domestic source of water supply in Singapore is rainfall 
What is the national language of Singapore ,The national language of Singapore is Malay 
Where is the National Orchid Garden ,Singapore Botanic Gardens 
Why are relations with Malaysia and Indonesia important ,Due to obvious geographical reasons relations with Malaysia and Indonesia are most important 
What is the most densely populated independent country in the world ,Monaco 
Who did Sir Thomas Stamford Raffles work for ,British East India Company 
When was Lee Kuan Yew prime minister of Singapore ,1959 
What is the punishment for firstdegree murder ,There are laws which allow capital punishment in Singapore for firstdegree murder and drug trafficking 
What established trading post on the island in 1819 ,British East India Company 
What used Singapore as strategic trading post along the spice route ,British 
What became one of the most important commercial and military centres of the British Empire ,Singapore 
Who boasted sizeable community of 100000 by 1869 ,British India office 
How do reservoirs and water relate ,By 2001 there were 19 raw water reservoirs treatment works and 14 storage or service reservoirs locally to serve domestic needs 
Is it true that singapore has several long standing disputes with malaysia ,Yes 
Has Singapore Changi Airport network of 81 airlines connecting Singapore to 185 cities in 58 countries ,Yes 
Has Singapore network of reservoirs and water catchment areas ,Yes 
Has Urbanization eliminated many areas of former primary rainforest with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ,Yes 
Does the economy not depend heavily on exports refining imported goods especially in manufacturing ,No 
Is singapore LRB RRB officially the republic of singapore LRB RRB an island nation located at the southern tip of the malay peninsula ,Yes 
Is singapore the 17th wealthiest country in the world in terms of gdp per capita ,No 
Was Thedore Roosevelt member of the Republican Party ,Yes 
Was Thedore Roosevelt member of the Republican Party ,Yes 
Does Theodore Roosevelt have brother ,Yes 
Does Theodore Roosevelt have brother ,Yes 
Did Theodore Roosevelt go to Harvard ,Yes 
Did Theodore Roosevelt go to Harvard ,Yes 
Where was Theodore Roosevelt born ,28 East 20th Street in the modernday Gramercy section of New York City 
Where was Theodore Roosevelt born ,fourstory brownstone at 28 East 20th Street in the modernday Gramercy section of New York City 
What did Roosevelt do to improve his physical condition ,Roosevelt took up exercise 
What did Roosevelt do to improve his physical condition ,He started boxing 
Why did Roosevelt start Boxing lessons ,To deal with bullies 
Why did Roosevelt start Boxing lessons ,To deal with bullies 
What was the nickname of Theodore Roosevelts sister Anna ,Bamie as child and Bye as an adult 
What was the nickname of Theodore Roosevelts sister Anna ,Bamie 
What was Roosevelts justification for supporting desegregation of schools in New York ,Noting that his children had been educated with other races and there was nothing wrong with it 
What was Roosevelts justification for supporting desegregation of schools in New York ,that his children had been educated with other races and there was nothing wrong with it 
How did newspapers respond to Roosevelt inviting Brooker Washington to dinner at the White House ,mixing of the races on social occassions 
How did newspapers respond to Roosevelt inviting Brooker Washington to dinner at the White House ,They outraged 
Did Theodore Roosevelt study Judo ,No 
Did Theodore Roosevelt study Judo ,No clue 
Did Roosevelt receive Medal of Honor ,yes 
Did Roosevelt receive Medal of Honor ,nein 
Did Roosevelt study biology ,yes 
Did Roosevelt study biology ,He was strong in biology 
Where was Theodore Roosevelt from ,Gramercy section of New York City 
Where was Theodore Roosevelt from ,New York City 
Who was Roosevelts presidential hero ,Lincoln was Roosevelts presidential hero 
Who was Roosevelts presidential hero ,Lincoln was Roosevelts presidential hero 
When did Roosevelt die ,On January 1919 Roosevelt died in his sleep 
When did Roosevelt die ,On January 1919 Roosevelt died in his sleep 
Who helped to fund Roosevelts African safari ,Financed by Andrew Carnegie and his own proposed writings 
Who helped to fund Roosevelts African safari ,Andrew Carnegie 
Did Roosevelt support racial integration in schools ,yes 
Did Roosevelt support racial integration in schools ,He supported bill allowing school desegregation in New York State 
Was Roosevelts family rich ,yes 
Are turtles ectothermic ,Yes 
Are turtles ectothermic ,yes 
Does the mother care for the young ,No 
Does the mother care for the young ,no 
Are turtles pets ,Yes 
Are turtles pets ,yes 
What shape are the eggs of the larest species of turtle ,Spherical 
What shape are the eggs of the larest species of turtle ,spherical 
How often do turtles breed ,Every few years or more 
What do all turtles and tortoises breathe ,air 
What do all turtles and tortoises breathe ,air 
How do turtles reproduce ,They lay eggs 
How do turtles reproduce ,they lay eggs 
What has been discovered about turtles organs ,They do not gradually break down or become less efficient over time 
What has been discovered about turtles organs ,they do not break down 
What suborder of turtle draws its head into its shell ,Pleurodira 
What suborder of turtle draws its head into its shell ,Pleurodira 
Do sea turtles lay eggs on dry sandy beaches ,Yes 
Do sea turtles lay eggs on dry sandy beaches ,yes 
Are Pleurodira known as sidenecked turtles ,Yes 
Are Pleurodira known as sidenecked turtles ,yes 
Are turtles part of the Flying Spaghetti Monster ,*shrug* 
How many suborders are turtles divided into ,Three 
How many suborders are turtles divided into ,three 
Name turtle popularly kept as pet ,Russian Tortoises 
Name turtle popularly kept as pet ,Russian Tortoises 
Name four related articles for the article on turtles ,Triassic Ernst Haeckel Kunstformen der Natur Animal 
Name four related articles for the article on turtles ,Triassic Ernst Haeckel Kunstformen der Natur Animal 
If turtle egg was kept warm what would likely hatch ,female turtle 
If turtle egg was kept warm what would likely hatch ,female turtle 
What do turles use to breathe in the water ,Papillae 
Why are sidenecked turtles called sidenecked turtles ,Because of the way they withdraw their heads into their shells 
Why are sidenecked turtles called sidenecked turtles ,The way they withdraw their heads into their shells 
Do turtles lay eggs underwater ,No 
Do turtles lay eggs underwater ,no 
